Timestamp;VisitorsIN;VisitorsOUT;MenIN;MenOUT;WomenIN;WomenOUT;GroupIN;GroupOUT;Passersby
10/10/2024 0:00;0;0;0;0;0;0;0;0;30
10/10/2024 1:00;0;0;0;0;0;0;0;0;14
10/10/2024 2:00;0;0;0;0;0;0;0;0;37
10/10/2024 3:00;0;0;0;0;0;0;0;0;24
10/10/2024 4:00;0;0;0;0;0;0;0;0;14
10/10/2024 5:00;0;0;0;0;0;0;0;0;92
10/10/2024 6:00;0;0;0;0;0;0;0;0;183
10/10/2024 7:00;19;19;0;1;11;8;19;19;632
10/10/2024 8:00;83;66;17;10;38;31;77;61;2701
10/10/2024 9:00;117;99;29;18;59;51;105;91;3215
10/10/2024 10:00;88;85;30;18;34;38;81;76;3384
10/10/2024 11:00;91;97;20;27;42;43;82;89;5412
10/10/2024 12:00;226;193;56;40;134;114;197;170;8205
10/10/2024 13:00;210;236;38;39;114;137;185;207;7553
10/10/2024 14:00;103;102;28;21;48;55;88;87;5065
10/10/2024 15:00;92;104;21;22;34;47;79;94;5113
10/10/2024 16:00;75;99;22;24;34;49;66;85;7208
10/10/2024 17:00;79;86;16;18;37;41;69;73;7494
10/10/2024 18:00;50;63;11;11;20;30;47;54;5345
10/10/2024 19:00;21;40;3;9;9;17;22;35;3675
10/10/2024 20:00;2;5;1;2;1;2;2;5;1594
10/10/2024 21:00;0;0;0;0;0;0;0;0;1037
10/10/2024 22:00;0;0;0;0;0;0;0;0;1075
10/10/2024 23:00;0;0;0;0;0;0;0;0;541
11/10/2024 0:00;0;0;0;0;0;0;0;0;266
11/10/2024 1:00;0;0;0;0;0;0;0;0;40
11/10/2024 2:00;0;0;0;0;0;0;0;0;41
11/10/2024 3:00;0;0;0;0;0;0;0;0;14
11/10/2024 4:00;0;0;0;0;0;0;0;0;9
11/10/2024 5:00;0;0;0;0;0;0;0;0;70
11/10/2024 6:00;1;1;0;0;1;1;1;1;181
11/10/2024 7:00;16;13;6;6;7;3;14;11;908
11/10/2024 8:00;63;46;13;9;34;26;61;45;1791
11/10/2024 9:00;86;84;28;25;36;35;79;77;2907
11/10/2024 10:00;69;66;23;15;32;28;60;65;3550
11/10/2024 11:00;103;96;26;23;49;44;92;86;4907
11/10/2024 12:00;167;148;41;37;90;77;144;130;7932
11/10/2024 13:00;163;183;40;31;98;111;148;160;7918
11/10/2024 14:00;102;96;15;12;62;57;88;84;7067
11/10/2024 15:00;92;96;23;14;42;51;78;83;8794
11/10/2024 16:00;105;113;16;20;68;64;90;97;9894
11/10/2024 17:00;70;85;16;11;39;53;64;76;9587
11/10/2024 18:00;65;72;10;12;37;40;55;68;7931
11/10/2024 19:00;23;50;2;9;12;25;20;38;4327
11/10/2024 20:00;0;0;0;0;0;0;0;0;2545
11/10/2024 21:00;0;0;0;0;0;0;0;0;1652
11/10/2024 22:00;0;0;0;0;0;0;0;0;1067
11/10/2024 23:00;0;0;0;0;0;0;0;0;1047
12/10/2024 0:00;0;0;0;0;0;0;0;0;446
12/10/2024 1:00;0;0;0;0;0;0;0;0;189
12/10/2024 2:00;0;0;0;0;0;0;0;0;117
12/10/2024 3:00;0;0;0;0;0;0;0;0;56
12/10/2024 4:00;0;0;0;0;0;0;0;0;54
12/10/2024 5:00;0;0;0;0;0;0;0;0;103
12/10/2024 6:00;0;0;0;0;0;0;0;0;195
12/10/2024 7:00;0;0;0;0;0;0;0;0;348
12/10/2024 8:00;16;13;2;2;7;6;15;12;804
12/10/2024 9:00;77;58;15;6;46;30;71;47;1735
12/10/2024 10:00;100;89;25;16;40;40;85;84;3417
12/10/2024 11:00;104;89;21;17;54;45;90;78;5588
12/10/2024 12:00;154;137;27;22;81;72;127;115;7095
12/10/2024 13:00;171;176;39;32;101;90;143;141;9028
12/10/2024 14:00;162;176;33;34;90;92;134;142;10691
12/10/2024 15:00;158;145;34;23;83;80;131;121;10710
12/10/2024 16:00;162;149;23;18;95;81;134;124;10495
12/10/2024 17:00;136;179;23;25;65;93;110;140;10029
12/10/2024 18:00;82;102;17;20;40;48;66;88;9595
12/10/2024 19:00;26;42;3;7;12;23;21;38;4009
12/10/2024 20:00;0;1;0;1;0;0;0;1;2412
12/10/2024 21:00;0;1;0;0;0;0;0;1;1378
12/10/2024 22:00;0;0;0;0;0;0;0;0;1140
12/10/2024 23:00;0;0;0;0;0;0;0;0;640
13/10/2024 0:00;0;0;0;0;0;0;0;0;261
13/10/2024 1:00;0;0;0;0;0;0;0;0;265
13/10/2024 2:00;0;0;0;0;0;0;0;0;104
13/10/2024 3:00;0;0;0;0;0;0;0;0;53
13/10/2024 4:00;0;0;0;0;0;0;0;0;43
13/10/2024 5:00;0;0;0;0;0;0;0;0;81
13/10/2024 6:00;0;0;0;0;0;0;0;0;116
13/10/2024 7:00;0;0;0;0;0;0;0;0;125
13/10/2024 8:00;0;0;0;0;0;0;0;0;309
13/10/2024 9:00;20;9;5;2;7;3;18;9;774
13/10/2024 10:00;43;39;13;9;17;19;38;34;1205
13/10/2024 11:00;48;52;12;11;24;23;41;48;1665
13/10/2024 12:00;44;44;15;7;17;14;38;37;1984
13/10/2024 13:00;55;55;9;8;28;29;50;46;2240
13/10/2024 14:00;58;48;12;5;28;25;48;40;2325
13/10/2024 15:00;60;72;21;10;22;31;56;61;2599
13/10/2024 16:00;21;38;7;8;10;15;19;34;2308
13/10/2024 17:00;0;0;0;0;0;0;0;0;1912
13/10/2024 18:00;0;0;0;0;0;0;0;0;2006
13/10/2024 19:00;0;0;0;0;0;0;0;0;1551
13/10/2024 20:00;0;0;0;0;0;0;0;0;1035
13/10/2024 21:00;0;0;0;0;0;0;0;0;1030
13/10/2024 22:00;0;0;0;0;0;0;0;0;598
13/10/2024 23:00;0;0;0;0;0;0;0;0;351
14/10/2024 0:00;0;0;0;0;0;0;0;0;130
14/10/2024 1:00;0;0;0;0;0;0;0;0;57
14/10/2024 2:00;0;0;0;0;0;0;0;0;20
14/10/2024 3:00;0;0;0;0;0;0;0;0;60
14/10/2024 4:00;0;0;0;0;0;0;0;0;21
14/10/2024 5:00;0;0;0;0;0;0;0;0;99
14/10/2024 6:00;0;0;0;0;0;0;0;0;253
14/10/2024 7:00;16;12;7;4;5;4;16;12;881
14/10/2024 8:00;52;39;15;9;28;16;52;37;1904
14/10/2024 9:00;95;75;19;16;48;30;84;71;2248
14/10/2024 10:00;97;88;23;15;37;39;83;78;2267
14/10/2024 11:00;75;75;18;19;21;25;69;65;2261
14/10/2024 12:00;160;149;45;38;74;60;140;133;4798
14/10/2024 13:00;133;158;31;29;59;68;115;137;5105
14/10/2024 14:00;110;117;16;17;60;65;98;106;3210
14/10/2024 15:00;71;76;8;12;27;34;64;70;3495
14/10/2024 16:00;57;68;10;9;25;35;53;61;5879
14/10/2024 17:00;53;69;5;7;30;43;49;62;6116
14/10/2024 18:00;58;71;12;9;30;39;55;63;5773
14/10/2024 19:00;17;39;2;6;9;20;17;36;3051
14/10/2024 20:00;0;0;0;0;0;0;0;0;1545
14/10/2024 21:00;1;2;0;0;0;1;1;2;1156
14/10/2024 22:00;0;0;0;0;0;0;0;0;625
14/10/2024 23:00;0;0;0;0;0;0;0;0;501
15/10/2024 0:00;0;0;0;0;0;0;0;0;96
15/10/2024 1:00;0;0;0;0;0;0;0;0;40
15/10/2024 2:00;0;0;0;0;0;0;0;0;27
